Never_Worked_Rate,Income_Deprivation_Score,Crime_Deprivation_Score,Housing_Services_Deprivation_Score,Living_Environment_Deprivation_Score,Level4Plus_Qualification_Rate,Disability_Rate,Social_Rented_Rate,No_Car_Van_Rate,Working_Age_Rate,Migrant_Within_UK_Rate,Migrant_Outside_UK_Rate,Asian_Rate,Black_Rate,Student_Rate,Population_per_km2,Unemployment_Rate
2.499335386440121,0.16636153721522526,0.242,10.182,9.248,22.3722,19.0999,2.8539613144555047,3.064530459424261,57.0959,2.1987123589290043,0.10553050120946375,0.7669551077046651,0.05344597570562602,1.8105157977104984,7.531069949943402,4.8463
2.297019634521164,0.09440067542148431,-0.809,9.892,2.895,27.9714,22.0759,0.6281285441854969,2.500517497302148,51.932,1.7885041765073824,0.07492192651725926,0.4324315563379787,0.0,1.3012265487298267,8.492941481613945,4.8474
2.669503394156456,0.12221763272424921,-0.244,11.145,9.147,27.1144,24.4026,2.269555574779743,2.936592486324867,52.6049,2.5365815380260224,0.1973743594202472,0.6247077273374243,0.19630664136061732,1.5191849234565382,8.298937674174804,5.753
2.086131613163379,0.061095099359810875,-0.063,19.442,2.812,30.2558,16.178,1.6617077298677816,2.411143489974542,57.2998,1.8609123279163715,0.4233705119769988,0.8811194088627143,0.19012436885697548,1.4306700338394434,7.164875045851278,2.1053
2.2115218820370437,0.07973496801885356,-0.614,8.524,2.083,31.57,17.0281,2.523197443520724,2.7948271061610006,56.3653,2.0557762137518445,0.2468600779315258,0.604643781968542,0.04506896336757812,1.509109160637296,5.375278407684165,2.737
2.7460843130868047,0.21913552991667093,0.208,11.01,5.08,20.162,23.622,3.3143350844686714,3.5361157286872684,54.6237,1.7893398777092875,0.06980587424396292,0.12195211075074605,0.13400627984773386,1.7188482166172068,8.38769935118178,5.102
2.8751396697547404,0.2889312918522129,0.601,10.279,2.323,19.0083,24.0364,3.7071441346701923,3.644271656643018,52.451,2.1209912713366306,0.13199270945849695,0.39911163413598905,0.0,1.940653499909491,8.584029071602492,6.9231
3.0475037036164596,0.3126185577418125,0.985,10.411,3.239,14.8119,25.5394,3.813163534334901,3.826722164636964,56.5015,2.1723738966981965,0.0,0.5960303697802178,0.16092766410628206,1.7819111331732407,8.524407108434433,9.6573
3.237194999451115,0.34217025773585064,1.656,13.143,5.122,16.6137,30.3811,4.012901290883667,3.9784566047701735,57.9817,2.4129988196484145,0.06015392281974709,0.6515957534017102,0.0,1.6926571081848436,8.321445911583787,13.8462
2.910168938554418,0.2889312918522129,0.805,12.731,2.061,16.1991,25.2336,3.856808348327315,3.772577013135503,54.5636,2.104268291614855,0.12742528825523886,0.550603873774403,0.0,1.993420583154786,8.859903076254463,8.9253
1.8564229825537772,0.054488185284069734,0.446,32.529,7.089,43.6287,14.4308,1.7976255633388476,1.8413429694168828,58.3742,2.442529627393918,0.4925598149590981,1.804807308077313,0.3003267899848596,1.5768527353364112,4.252771798816619,2.2965
2.391538749204272,0.0657877405380031,-0.909,13.422,3.294,23.8054,22.3346,1.1402979101552164,2.654206288230091,48.062,1.9930663259330903,0.2108280255915609,0.12195211075074605,0.0,1.0997782753080791,8.412943170042439,3.3028
2.3510228141103395,0.09984533496971613,-0.373,9.294,2.157,25.9901,20.2151,1.1866842141883938,2.9189970069288798,52.752,1.9221588789773074,0.49980512048252523,0.3577443718967526,0.19482637793242902,1.1975824293039217,8.471861041418096,3.7582
2.5794210585050297,0.11064652008706366,-0.187,29.331,5.458,26.1822,23.2474,2.928673245272052,2.834206967895568,55.274,1.9832334588812432,0.3466347090443171,0.30821972366932904,0.22944366386268963,1.356736808877565,5.113793386198882,4.6538
1.6128720091683826,0.03343477608623739,-0.355,24.807,1.26,47.4625,12.611,0.7808832948640321,1.6362550957931248,54.078,2.665914844499425,0.3906221612383899,1.16020898688476,0.3467054129012419,1.3132396802139796,6.761919930758593,2.0936
