LSOA_Code,RUC21CD,RUC21NM,Urban_rural_flag
E01000073,UN1,Urban: Nearer to a major town or city,Urban
E01000074,UN1,Urban: Nearer to a major town or city,Urban
E01000075,UN1,Urban: Nearer to a major town or city,Urban
E01000076,UN1,Urban: Nearer to a major town or city,Urban
E01000077,UN1,Urban: Nearer to a major town or city,Urban
E01000078,UN1,Urban: Nearer to a major town or city,Urban
E01000079,UN1,Urban: Nearer to a major town or city,Urban
E01000080,UN1,Urban: Nearer to a major town or city,Urban
E01000081,UN1,Urban: Nearer to a major town or city,Urban
E01000082,UN1,Urban: Nearer to a major town or city,Urban
E01000083,UN1,Urban: Nearer to a major town or city,Urban
E01000084,UN1,Urban: Nearer to a major town or city,Urban
E01000085,UN1,Urban: Nearer to a major town or city,Urban
E01000086,UN1,Urban: Nearer to a major town or city,Urban
E01000087,UN1,Urban: Nearer to a major town or city,Urban
E01000088,UN1,Urban: Nearer to a major town or city,Urban
E01000089,UN1,Urban: Nearer to a major town or city,Urban
E01000090,UN1,Urban: Nearer to a major town or city,Urban
E01000091,UN1,Urban: Nearer to a major town or city,Urban
E01000093,UN1,Urban: Nearer to a major town or city,Urban
E01000094,UN1,Urban: Nearer to a major town or city,Urban
E01000095,UN1,Urban: Nearer to a major town or city,Urban
E01000096,UN1,Urban: Nearer to a major town or city,Urban
E01000097,UN1,Urban: Nearer to a major town or city,Urban
E01000098,UN1,Urban: Nearer to a major town or city,Urban
E01000099,UN1,Urban: Nearer to a major town or city,Urban
E01000100,UN1,Urban: Nearer to a major town or city,Urban
E01000101,UN1,Urban: Nearer to a major town or city,Urban
E01000102,UN1,Urban: Nearer to a major town or city,Urban
E01000103,UN1,Urban: Nearer to a major town or city,Urban
E01000104,UN1,Urban: Nearer to a major town or city,Urban
E01000105,UN1,Urban: Nearer to a major town or city,Urban
E01000106,UN1,Urban: Nearer to a major town or city,Urban
E01000107,UN1,Urban: Nearer to a major town or city,Urban
E01000213,UN1,Urban: Nearer to a major town or city,Urban
E01000214,UN1,Urban: Nearer to a major town or city,Urban
E01000215,UN1,Urban: Nearer to a major town or city,Urban
E01000216,UN1,Urban: Nearer to a major town or city,Urban
E01000217,UN1,Urban: Nearer to a major town or city,Urban
E01000218,UN1,Urban: Nearer to a major town or city,Urban
E01000219,UN1,Urban: Nearer to a major town or city,Urban
E01000220,UN1,Urban: Nearer to a major town or city,Urban
E01000221,UN1,Urban: Nearer to a major town or city,Urban
E01000222,UN1,Urban: Nearer to a major town or city,Urban
E01000223,UN1,Urban: Nearer to a major town or city,Urban
E01000224,UN1,Urban: Nearer to a major town or city,Urban
E01000225,UN1,Urban: Nearer to a major town or city,Urban
E01000226,UN1,Urban: Nearer to a major town or city,Urban
